country,date,sector,value
Brazil,01-02-2025,Domestic Aviation,0.0331847
Brazil,01-02-2025,Ground Transport,0.400774
Brazil,01-02-2025,Industry,0.376562
Brazil,01-02-2025,International Aviation,0.00981471
Brazil,01-02-2025,Power,0.118788
Brazil,01-02-2025,Residential,0.109
China,01-02-2025,Domestic Aviation,0.229255
China,01-02-2025,Ground Transport,1.74176
China,01-02-2025,Industry,8.51702
China,01-02-2025,International Aviation,0.0495944
China,01-02-2025,Power,13.4375
China,01-02-2025,Residential,3.73294
EU27 & UK,01-02-2025,Domestic Aviation,0.0389912
EU27 & UK,01-02-2025,Ground Transport,2.40186
EU27 & UK,01-02-2025,Industry,1.65174
EU27 & UK,01-02-2025,International Aviation,0.182501
EU27 & UK,01-02-2025,Power,2.24001
EU27 & UK,01-02-2025,Residential,2.94441
France,01-02-2025,Domestic Aviation,0.00525584
France,01-02-2025,Ground Transport,0.32472
France,01-02-2025,Industry,0.153295
France,01-02-2025,International Aviation,0.0216512
France,01-02-2025,Power,0.0730227
France,01-02-2025,Residential,0.383618
Germany,01-02-2025,Domestic Aviation,0.00406629
Germany,01-02-2025,Ground Transport,0.394898
Germany,01-02-2025,Industry,0.32326
Germany,01-02-2025,International Aviation,0.027759
Germany,01-02-2025,Power,0.754108
Germany,01-02-2025,Residential,0.736995
India,01-02-2025,Domestic Aviation,0.0233061
India,01-02-2025,Ground Transport,0.825635
India,01-02-2025,Industry,2.58211
India,01-02-2025,International Aviation,0.016856
India,01-02-2025,Power,4.85425
India,01-02-2025,Residential,0.588797
Italy,01-02-2025,Domestic Aviation,0.00443419
Italy,01-02-2025,Ground Transport,0.246825
Italy,01-02-2025,Industry,0.0314378
Italy,01-02-2025,International Aviation,0.0135104
Italy,01-02-2025,Power,0.0440116
Italy,01-02-2025,Residential,0.340322
Japan,01-02-2025,Domestic Aviation,0.0246466
Japan,01-02-2025,Ground Transport,0.515015
Japan,01-02-2025,Industry,0.684527
Japan,01-02-2025,International Aviation,0.0245249
Japan,01-02-2025,Power,1.28231
Japan,01-02-2025,Residential,0.615786
ROW,01-02-2025,Domestic Aviation,0.188748
ROW,01-02-2025,Ground Transport,6.30128
ROW,01-02-2025,Industry,10.3142
ROW,01-02-2025,International Aviation,1.26535
ROW,01-02-2025,Power,7.97701
ROW,01-02-2025,Residential,4.88455
Russia,01-02-2025,Domestic Aviation,0.037303
Russia,01-02-2025,Ground Transport,0.583253
Russia,01-02-2025,Industry,0.926472
Russia,01-02-2025,International Aviation,0.00792646
Russia,01-02-2025,Power,2.92436
Russia,01-02-2025,Residential,0.790322
Spain,01-02-2025,Domestic Aviation,0.0156077
Spain,01-02-2025,Ground Transport,0.246481
Spain,01-02-2025,Industry,0.145137
Spain,01-02-2025,International Aviation,0.0243695
Spain,01-02-2025,Power,0.071572
Spain,01-02-2025,Residential,0.15418
United Kingdom,01-02-2025,Domestic Aviation,0.0061955
United Kingdom,01-02-2025,Ground Transport,0.324937
United Kingdom,01-02-2025,Industry,0.173333
United Kingdom,01-02-2025,International Aviation,0.0396968
United Kingdom,01-02-2025,Power,0.183896
United Kingdom,01-02-2025,Residential,0.353608
United States,01-02-2025,Domestic Aviation,0.385931
United States,01-02-2025,Ground Transport,4.45473
United States,01-02-2025,Industry,2.64689
United States,01-02-2025,International Aviation,0.201082
United States,01-02-2025,Power,3.9833
United States,01-02-2025,Residential,2.21147
WORLD,01-02-2025,Domestic Aviation,0.961365
WORLD,01-02-2025,Ground Transport,17.2243
WORLD,01-02-2025,Industry,27.6996
WORLD,01-02-2025,International Aviation,1.75765
WORLD,01-02-2025,Power,36.8175
WORLD,01-02-2025,Residential,15.8773
Brazil,02-02-2025,Domestic Aviation,0.0316332
Brazil,02-02-2025,Ground Transport,0.223554
Brazil,02-02-2025,Industry,0.387882
Brazil,02-02-2025,International Aviation,0.0102158
Brazil,02-02-2025,Power,0.122359
Brazil,02-02-2025,Residential,0.109
China,02-02-2025,Domestic Aviation,0.231615
China,02-02-2025,Ground Transport,1.57851
China,02-02-2025,Industry,8.33644
China,02-02-2025,International Aviation,0.0486315
China,02-02-2025,Power,13.1526
China,02-02-2025,Residential,3.7702
EU27 & UK,02-02-2025,Domestic Aviation,0.0421532
EU27 & UK,02-02-2025,Ground Transport,1.96727
EU27 & UK,02-02-2025,Industry,1.62692
EU27 & UK,02-02-2025,International Aviation,0.184009
EU27 & UK,02-02-2025,Power,2.20635
EU27 & UK,02-02-2025,Residential,3.00185
France,02-02-2025,Domestic Aviation,0.00525621
France,02-02-2025,Ground Transport,0.239374
France,02-02-2025,Industry,0.149387
France,02-02-2025,International Aviation,0.0228921
France,02-02-2025,Power,0.0711614
France,02-02-2025,Residential,0.39168
Germany,02-02-2025,Domestic Aviation,0.00423562
Germany,02-02-2025,Ground Transport,0.349202
Germany,02-02-2025,Industry,0.315459
Germany,02-02-2025,International Aviation,0.0274561
Germany,02-02-2025,Power,0.735909
Germany,02-02-2025,Residential,0.757228
India,02-02-2025,Domestic Aviation,0.0234289
India,02-02-2025,Ground Transport,0.732435
India,02-02-2025,Industry,2.4496
India,02-02-2025,International Aviation,0.0177549
India,02-02-2025,Power,4.60514
India,02-02-2025,Residential,0.626068
Italy,02-02-2025,Domestic Aviation,0.00505132
Italy,02-02-2025,Ground Transport,0.193849
Italy,02-02-2025,Industry,0.0229287
Italy,02-02-2025,International Aviation,0.0132665
Italy,02-02-2025,Power,0.0320992
Italy,02-02-2025,Residential,0.336668
Japan,02-02-2025,Domestic Aviation,0.0245379
Japan,02-02-2025,Ground Transport,0.500463
Japan,02-02-2025,Industry,0.668357
Japan,02-02-2025,International Aviation,0.0249865
Japan,02-02-2025,Power,1.25202
Japan,02-02-2025,Residential,0.626524
ROW,02-02-2025,Domestic Aviation,0.189333
ROW,02-02-2025,Ground Transport,5.52362
ROW,02-02-2025,Industry,9.54828
ROW,02-02-2025,International Aviation,1.27127
ROW,02-02-2025,Power,7.83366
ROW,02-02-2025,Residential,4.91826
Russia,02-02-2025,Domestic Aviation,0.0373088
Russia,02-02-2025,Ground Transport,0.544042
Russia,02-02-2025,Industry,0.920792
Russia,02-02-2025,International Aviation,0.00763414
Russia,02-02-2025,Power,2.90643
Russia,02-02-2025,Residential,0.801643
Spain,02-02-2025,Domestic Aviation,0.0177105
Spain,02-02-2025,Ground Transport,0.191718
Spain,02-02-2025,Industry,0.154031
Spain,02-02-2025,International Aviation,0.024147
Spain,02-02-2025,Power,0.0759579
Spain,02-02-2025,Residential,0.154073
United Kingdom,02-02-2025,Domestic Aviation,0.00693669
United Kingdom,02-02-2025,Ground Transport,0.292809
United Kingdom,02-02-2025,Industry,0.160181
United Kingdom,02-02-2025,International Aviation,0.0398457
United Kingdom,02-02-2025,Power,0.169941
United Kingdom,02-02-2025,Residential,0.357931
United States,02-02-2025,Domestic Aviation,0.371812
United States,02-02-2025,Ground Transport,3.31208
United States,02-02-2025,Industry,2.41776
United States,02-02-2025,International Aviation,0.194796
United States,02-02-2025,Power,3.63847
United States,02-02-2025,Residential,2.26728
WORLD,02-02-2025,Domestic Aviation,0.951823
WORLD,02-02-2025,Ground Transport,14.382
WORLD,02-02-2025,Industry,26.356
WORLD,02-02-2025,International Aviation,1.7593
WORLD,02-02-2025,Power,35.717
WORLD,02-02-2025,Residential,16.1208
Brazil,03-02-2025,Domestic Aviation,0.0331215
Brazil,03-02-2025,Ground Transport,0.443204
Brazil,03-02-2025,Industry,0.388696
Brazil,03-02-2025,International Aviation,0.00977326
Brazil,03-02-2025,Power,0.122616
Brazil,03-02-2025,Residential,0.109
China,03-02-2025,Domestic Aviation,0.235098
China,03-02-2025,Ground Transport,1.7307
China,03-02-2025,Industry,7.90826
China,03-02-2025,International Aviation,0.0473293
China,03-02-2025,Power,12.477
China,03-02-2025,Residential,3.93099
EU27 & UK,03-02-2025,Domestic Aviation,0.0466614
EU27 & UK,03-02-2025,Ground Transport,2.22085
EU27 & UK,03-02-2025,Industry,2.1332
EU27 & UK,03-02-2025,International Aviation,0.171955
EU27 & UK,03-02-2025,Power,2.89294
EU27 & UK,03-02-2025,Residential,3.02059
France,03-02-2025,Domestic Aviation,0.00570734
France,03-02-2025,Ground Transport,0.348535
France,03-02-2025,Industry,0.268588
France,03-02-2025,International Aviation,0.0193362
France,03-02-2025,Power,0.127943
France,03-02-2025,Residential,0.394278
Germany,03-02-2025,Domestic Aviation,0.00529145
Germany,03-02-2025,Ground Transport,0.375471
Germany,03-02-2025,Industry,0.336268
Germany,03-02-2025,International Aviation,0.0267467
Germany,03-02-2025,Power,0.784453
Germany,03-02-2025,Residential,0.766638
India,03-02-2025,Domestic Aviation,0.0236274
India,03-02-2025,Ground Transport,0.820449
India,03-02-2025,Industry,2.50456
India,03-02-2025,International Aviation,0.0161579
India,03-02-2025,Power,4.70846
India,03-02-2025,Residential,0.641775
Italy,03-02-2025,Domestic Aviation,0.00566469
Italy,03-02-2025,Ground Transport,0.157477
Italy,03-02-2025,Industry,0.212384
Italy,03-02-2025,International Aviation,0.0134589
Italy,03-02-2025,Power,0.297329
Italy,03-02-2025,Residential,0.343045
Japan,03-02-2025,Domestic Aviation,0.0249903
Japan,03-02-2025,Ground Transport,0.518719
Japan,03-02-2025,Industry,0.657407
Japan,03-02-2025,International Aviation,0.0236861
Japan,03-02-2025,Power,1.23151
Japan,03-02-2025,Residential,0.62518
ROW,03-02-2025,Domestic Aviation,0.201477
ROW,03-02-2025,Ground Transport,6.48602
ROW,03-02-2025,Industry,11.0905
ROW,03-02-2025,International Aviation,1.21235
ROW,03-02-2025,Power,8.61376
ROW,03-02-2025,Residential,4.95179
Russia,03-02-2025,Domestic Aviation,0.0378952
Russia,03-02-2025,Ground Transport,0.56245
Russia,03-02-2025,Industry,0.956688
Russia,03-02-2025,International Aviation,0.00700841
Russia,03-02-2025,Power,3.01974
Russia,03-02-2025,Residential,0.819286
Spain,03-02-2025,Domestic Aviation,0.016788
Spain,03-02-2025,Ground Transport,0.149174
Spain,03-02-2025,Industry,0.244718
Spain,03-02-2025,International Aviation,0.0209981
Spain,03-02-2025,Power,0.120679
Spain,03-02-2025,Residential,0.1524
United Kingdom,03-02-2025,Domestic Aviation,0.00949831
United Kingdom,03-02-2025,Ground Transport,0.336944
United Kingdom,03-02-2025,Industry,0.198448
United Kingdom,03-02-2025,International Aviation,0.0364302
United Kingdom,03-02-2025,Power,0.210541
United Kingdom,03-02-2025,Residential,0.343695
United States,03-02-2025,Domestic Aviation,0.406278
United States,03-02-2025,Ground Transport,4.44601
United States,03-02-2025,Industry,2.62999
United States,03-02-2025,International Aviation,0.194083
United States,03-02-2025,Power,3.95787
United States,03-02-2025,Residential,2.07715
WORLD,03-02-2025,Domestic Aviation,1.00915
WORLD,03-02-2025,Ground Transport,17.2284
WORLD,03-02-2025,Industry,28.2693
WORLD,03-02-2025,International Aviation,1.68234
WORLD,03-02-2025,Power,37.0239
WORLD,03-02-2025,Residential,16.1758
Brazil,04-02-2025,Domestic Aviation,0.0324423
Brazil,04-02-2025,Ground Transport,0.457171
Brazil,04-02-2025,Industry,0.372931
Brazil,04-02-2025,International Aviation,0.0104674
Brazil,04-02-2025,Power,0.117643
Brazil,04-02-2025,Residential,0.109
China,04-02-2025,Domestic Aviation,0.236275
China,04-02-2025,Ground Transport,1.76759
China,04-02-2025,Industry,8.3625
China,04-02-2025,International Aviation,0.0475654
China,04-02-2025,Power,13.1937
China,04-02-2025,Residential,3.88632
EU27 & UK,04-02-2025,Domestic Aviation,0.0418744
EU27 & UK,04-02-2025,Ground Transport,2.6718
EU27 & UK,04-02-2025,Industry,2.04737
EU27 & UK,04-02-2025,International Aviation,0.156524
EU27 & UK,04-02-2025,Power,2.77654
EU27 & UK,04-02-2025,Residential,3.02424
France,04-02-2025,Domestic Aviation,0.00510144
France,04-02-2025,Ground Transport,0.352589
France,04-02-2025,Industry,0.26019
France,04-02-2025,International Aviation,0.0176328
France,04-02-2025,Power,0.123943
France,04-02-2025,Residential,0.391367
Germany,04-02-2025,Domestic Aviation,0.00577321
Germany,04-02-2025,Ground Transport,0.436553
Germany,04-02-2025,Industry,0.336657
Germany,04-02-2025,International Aviation,0.0240999
Germany,04-02-2025,Power,0.785359
Germany,04-02-2025,Residential,0.767319
India,04-02-2025,Domestic Aviation,0.0233946
India,04-02-2025,Ground Transport,0.833185
